simulation,infection_day,contact_fraction,symptomatic_fraction,screening_fraction,undetected_fraction
sim_1,21,0.4639423076923077,0.026442307692307692,0.30528846153846156,0.20432692307692307
sim_1,22,0.45,0.011111111111111112,0.3333333333333333,0.20555555555555555
sim_1,23,0.4410377358490566,0.04481132075471698,0.3419811320754717,0.1721698113207547
sim_1,24,0.4609756097560976,0.03170731707317073,0.2975609756097561,0.2097560975609756
sim_1,25,0.4120734908136483,0.028871391076115485,0.37270341207349084,0.18635170603674542
sim_1,26,0.45305164319248825,0.04225352112676056,0.323943661971831,0.1807511737089202
sim_1,27,0.41445783132530123,0.03132530120481928,0.39759036144578314,0.1566265060240964
sim_1,28,0.4498714652956298,0.04627249357326478,0.33161953727506427,0.17223650385604114
sim_1,29,0.42824074074074076,0.027777777777777776,0.3449074074074074,0.19907407407407407
sim_1,30,0.38967136150234744,0.028169014084507043,0.3591549295774648,0.22300469483568075
sim_1,31,0.38631346578366443,0.04194260485651214,0.3576158940397351,0.2141280353200883
sim_1,32,0.39814814814814814,0.041666666666666664,0.35648148148148145,0.2037037037037037
sim_1,33,0.3922018348623853,0.04128440366972477,0.3761467889908257,0.19036697247706422
sim_1,34,0.42350332594235035,0.037694013303769404,0.3614190687361419,0.17738359201773837
sim_1,35,0.35990888382687924,0.05466970387243736,0.357630979498861,0.22779043280182232
sim_1,36,0.38204592901878914,0.031315240083507306,0.4133611691022965,0.1732776617954071
sim_1,37,0.3888888888888889,0.03292181069958848,0.39711934156378603,0.18106995884773663
sim_1,38,0.378076062639821,0.03131991051454139,0.36465324384787473,0.22595078299776286
sim_1,39,0.4344569288389513,0.03745318352059925,0.34831460674157305,0.1797752808988764
sim_1,40,0.3870967741935484,0.026565464895635674,0.3908918406072106,0.1954459203036053
sim_1,41,0.39568345323741005,0.039568345323741004,0.3579136690647482,0.2068345323741007
sim_1,42,0.44768439108061747,0.025728987993138937,0.3481989708404803,0.1783876500857633
sim_1,43,0.4500907441016334,0.029038112522686024,0.3629764065335753,0.15789473684210525
sim_1,44,0.4322916666666667,0.043402777777777776,0.328125,0.19618055555555555
sim_1,45,0.4115586690017513,0.028021015761821366,0.34851138353765326,0.2119089316987741
sim_1,46,0.4072249589490969,0.034482758620689655,0.367816091954023,0.19047619047619047
sim_1,47,0.43543046357615894,0.028145695364238412,0.3675496688741722,0.16887417218543047
sim_1,48,0.459214501510574,0.030211480362537766,0.3564954682779456,0.1540785498489426
sim_1,49,0.4236760124610592,0.0264797507788162,0.3598130841121495,0.19003115264797507
sim_1,50,0.439209726443769,0.034954407294832825,0.32370820668693007,0.20212765957446807
sim_1,51,0.4281391830559758,0.03479576399394856,0.34795763993948564,0.18910741301059
sim_1,52,0.39850746268656717,0.03582089552238806,0.3537313432835821,0.21194029850746268
sim_1,53,0.4444444444444444,0.03654970760233918,0.32748538011695905,0.1915204678362573
sim_1,54,0.4092178770949721,0.023743016759776536,0.3729050279329609,0.1941340782122905
sim_1,55,0.39260312944523473,0.02702702702702703,0.36415362731152207,0.21621621621621623
sim_1,56,0.39280958721704395,0.041278295605858856,0.35419440745672437,0.21171770972037285
sim_1,57,0.3940149625935162,0.04114713216957606,0.35785536159601,0.20698254364089774
sim_1,58,0.38562091503267976,0.044444444444444446,0.3673202614379085,0.20261437908496732
sim_1,59,0.4225721784776903,0.026246719160104987,0.37139107611548555,0.17979002624671916
sim_1,60,0.40415140415140416,0.03418803418803419,0.3663003663003663,0.19536019536019536
sim_1,61,0.41291108404384896,0.040194884287454324,0.35444579780755175,0.19244823386114496
sim_1,62,0.3867595818815331,0.041811846689895474,0.38443670150987225,0.18699186991869918
sim_1,63,0.39593301435406697,0.03349282296650718,0.35526315789473684,0.215311004784689
sim_1,64,0.4040728831725616,0.04072883172561629,0.3633440514469453,0.19185423365487675
sim_1,65,0.38506417736289383,0.03733955659276546,0.38506417736289383,0.19253208868144692
sim_10,21,0.4323607427055703,0.050397877984084884,0.32625994694960214,0.1909814323607427
sim_10,22,0.43175487465181056,0.027855153203342618,0.3593314763231198,0.181058495821727
sim_10,23,0.48128342245989303,0.0427807486631016,0.28609625668449196,0.18983957219251338
sim_10,24,0.4151436031331593,0.05221932114882506,0.3524804177545692,0.1801566579634465
sim_10,25,0.4352078239608802,0.012224938875305624,0.3422982885085575,0.21026894865525672
sim_10,26,0.4251968503937008,0.026246719160104987,0.35170603674540685,0.1968503937007874
sim_10,27,0.47549019607843135,0.031862745098039214,0.3161764705882353,0.17647058823529413
sim_10,28,0.40691489361702127,0.018617021276595744,0.3803191489361702,0.19414893617021275
sim_10,29,0.42424242424242425,0.025252525252525252,0.3686868686868687,0.18181818181818182
sim_10,30,0.44041450777202074,0.02849740932642487,0.3704663212435233,0.16062176165803108
sim_10,31,0.3936651583710407,0.024886877828054297,0.38235294117647056,0.19909502262443438
sim_10,32,0.4178743961352657,0.026570048309178744,0.38405797101449274,0.17149758454106281
sim_10,33,0.4192139737991266,0.028384279475982533,0.39956331877729256,0.15283842794759825
sim_10,34,0.41244239631336405,0.029953917050691243,0.35253456221198154,0.20506912442396313
sim_10,35,0.3981042654028436,0.04028436018957346,0.3933649289099526,0.16824644549763032
sim_10,36,0.41541755888650966,0.02569593147751606,0.36616702355460384,0.19271948608137046
sim_10,37,0.4088888888888889,0.04,0.3488888888888889,0.20222222222222222
sim_10,38,0.4096638655462185,0.03571428571428571,0.3592436974789916,0.1953781512605042
sim_10,39,0.3861607142857143,0.044642857142857144,0.36830357142857145,0.20089285714285715
sim_10,40,0.4161490683229814,0.049689440993788817,0.36438923395445133,0.16977225672877846
sim_10,41,0.41598360655737704,0.0389344262295082,0.3422131147540984,0.2028688524590164
sim_10,42,0.4103671706263499,0.0367170626349892,0.3412526997840173,0.21166306695464362
sim_10,43,0.4149139579349904,0.030592734225621414,0.35372848948374763,0.20076481835564053
sim_10,44,0.4302554027504912,0.03536345776031434,0.33988212180746563,0.1944990176817289
sim_10,45,0.39849624060150374,0.041353383458646614,0.34774436090225563,0.212406015037594
sim_10,46,0.4230088495575221,0.04070796460176991,0.3663716814159292,0.16991150442477876
sim_10,47,0.43956043956043955,0.023809523809523808,0.358974358974359,0.17765567765567766
sim_10,48,0.43594009983361065,0.036605657237936774,0.3227953410981697,0.20465890183028287
sim_10,49,0.4020100502512563,0.04020100502512563,0.32998324958123953,0.22780569514237856
sim_10,50,0.4407796101949025,0.020989505247376312,0.34782608695652173,0.1904047976011994
sim_10,51,0.433389544688027,0.0387858347386172,0.36593591905564926,0.16188870151770657
sim_10,52,0.4078303425774878,0.037520391517128875,0.3556280587275693,0.19902120717781402
sim_10,53,0.4272300469483568,0.03599374021909233,0.3458528951486698,0.19092331768388107
sim_10,54,0.391304347826087,0.040257648953301126,0.34299516908212563,0.22544283413848631
sim_10,55,0.4012251148545176,0.022970903522205207,0.36906584992343033,0.20673813169984687
sim_10,56,0.3411764705882353,0.029411764705882353,0.4102941176470588,0.21911764705882353
sim_10,57,0.3644859813084112,0.03271028037383177,0.40965732087227413,0.19314641744548286
sim_10,58,0.4156804733727811,0.026627218934911243,0.36538461538461536,0.19230769230769232
sim_10,59,0.3817663817663818,0.03276353276353276,0.37749287749287747,0.20797720797720798
sim_10,60,0.37920937042459735,0.032210834553440704,0.3821376281112738,0.20644216691068815
sim_10,61,0.36530324400564174,0.023977433004231313,0.385049365303244,0.22566995768688294
sim_10,62,0.3902439024390244,0.02295552367288379,0.38593974175035867,0.20086083213773315
sim_10,63,0.3657219973009447,0.02834008097165992,0.37112010796221323,0.23481781376518218
sim_10,64,0.3581081081081081,0.025675675675675677,0.3716216216216216,0.2445945945945946
sim_10,65,0.4108527131782946,0.03359173126614987,0.36175710594315247,0.1937984496124031
sim_11,21,0.46005509641873277,0.024793388429752067,0.31955922865013775,0.19559228650137742
sim_11,22,0.4742857142857143,0.022857142857142857,0.34285714285714286,0.16
sim_11,23,0.4713896457765668,0.013623978201634877,0.34877384196185285,0.16621253405994552
sim_11,24,0.390745501285347,0.028277634961439587,0.37789203084832906,0.20308483290488433
sim_11,25,0.4472049689440994,0.027950310559006212,0.3385093167701863,0.18633540372670807
sim_11,26,0.3753351206434316,0.045576407506702415,0.3806970509383378,0.19839142091152814
sim_11,27,0.42776203966005666,0.042492917847025496,0.33994334277620397,0.18980169971671387
sim_11,28,0.4342105263157895,0.02631578947368421,0.35,0.18947368421052632
sim_11,29,0.38524590163934425,0.03551912568306011,0.40437158469945356,0.17486338797814208
